Customer ID,Current Value,Date
CID000001,6251.189895629883,2025-03-31
CID000002,33399.47982788086,2025-03-31
CID000003,34298.43963623047,2025-03-31
CID000004,57449.84002685547,2025-03-31
CID000005,72257.94947814941,2025-03-31
CID000006,65738.79092407227,2025-03-31
CID000007,73860.41806030273,2025-03-31
CID000008,52534.020736694336,2025-03-31
CID000009,36411.27862548828,2025-03-31
CID000010,1844.8499145507808,2025-03-31
CID000011,27323.129776000977,2025-03-31
CID000012,50763.178955078125,2025-03-31
CID000013,28965.0701751709,2025-03-31
CID000014,48372.35943603516,2025-03-31
CID000015,46567.79895019531,2025-03-31
CID000016,57764.67791748046,2025-03-31
CID000017,21611.09899902344,2025-03-31
CID000018,69905.96951293945,2025-03-31
CID000019,10571.880065917969,2025-03-31
CID000020,54395.86923217773,2025-03-31
CID000021,10541.99951171875,2025-03-31
CID000022,67139.04899597168,2025-03-31
CID000023,18957.29946899414,2025-03-31
CID000024,19475.37030029297,2025-03-31
CID000025,32327.33976745605,2025-03-31
CID000026,19064.64038085937,2025-03-31
CID000027,55789.72023010254,2025-03-31
CID000028,34605.6891784668,2025-03-31
CID000029,8385.969696044922,2025-03-31
CID000030,93758.1277923584,2025-03-31
CID000031,3276.240020751953,2025-03-31
CID000032,76595.26722717285,2025-03-31
CID000033,89787.87963867188,2025-03-31
CID000034,71746.54971313477,2025-03-31
CID000035,5639.959899902344,2025-03-31
CID000036,23604.819732666016,2025-03-31
CID000037,66058.73776245117,2025-03-31
CID000038,60285.9582824707,2025-03-31
CID000039,57985.4201965332,2025-03-31
CID000040,5229.599853515625,2025-03-31
CID000041,118945.80783081056,2025-03-31
CID000042,25431.900299072266,2025-03-31
CID000043,64904.958251953125,2025-03-31
CID000044,66171.4585571289,2025-03-31
CID000045,24220.109756469727,2025-03-31
CID000046,62250.17819213867,2025-03-31
CID000047,36991.389205932624,2025-03-31
CID000048,32874.179443359375,2025-03-31
CID000049,45912.66021728516,2025-03-31
CID000050,36502.66009521485,2025-03-31
CID000051,41350.40911865234,2025-03-31
CID000052,48306.17967224121,2025-03-31
CID000053,7870.830093383789,2025-03-31
CID000054,66587.52954101562,2025-03-31
CID000055,92220.919921875,2025-03-31
CID000056,378.7999877929688,2025-03-31
CID000057,32223.45904541016,2025-03-31
CID000058,25095.59945678711,2025-03-31
CID000059,82521.40802001953,2025-03-31
CID000060,64386.95861816406,2025-03-31
CID000061,45215.2689819336,2025-03-31
CID000062,93431.2274017334,2025-03-31
CID000063,96762.67710876466,2025-03-31
CID000064,115926.73681640624,2025-03-31
CID000065,2006.290023803711,2025-03-31
CID000066,57383.478759765625,2025-03-31
